classification,tweet
"positive","*curls up next to Papa on the front porch* "Going through baseball withdrawal?" I ask him. "Hardly, Circe.... playoffs start tomorrow.""
"positive","@DENIESSEsters: Mallshow with the #PBBUnlimited BIG 4 + Wendy, Divine, Deniesse at Pacific Mall Legaspi Landco Plaza, April 30, 6pm! :)"
"positive","@MZHemingway True fact: Christianity based on a Man who wins by DYING. We call the day of His death Good Friday."
"negative","Alan Pardew apparently compared Colocinni to Bobby Moore. I may fucking shoot the prick for that Blasphemy. #NUFC #WUFC."
"negative","Martin stupid "1st notice, 2nd notice, a don't let me catch your ass in the street notice""
"negative","@imjustanerd We may not win Academy Awards, but we will be the freaking People's Choice dammit!!!"
"positive","Our last draw for an HD TV is today, 24 Feb., at noon. Good luck, everyone! Details to enter the #pplHDTV comp: https://t.co/hJDkTLah"
"positive","Yelling I'm so proud of my son TRAYVON he'll be getting acknowledge in tomorrow assembly he is STUDENT OF THE MONTH. JUST THANKING GOD!"
"positive","We love FREE! Celebrate with Fox Theatre for their 5th anniversary!... http://t.co/TZBzFE7o"
"negative","And the new season opener is against the Dallas Stars on Thursday, Oct 25. You probably shouldn't buy tickets yet. Call me cynical."
"positive","I just hope Danica meets Justin tomorrow. And Danielle. They both deserve it. They support Justin with everything they have. #jbmeetdanica"
"positive","@EricThuney You get it boy! Hey, thanks for the champagne &amp; nummies...Very much appreicated &amp; glad you &amp; Laurin made it sunday..THANKS POOF"
"positive","@suprefan You hitting that Com Truise/Bonde Do Role show at the Echo tomorrow? Just entered the last contest I could find, haha."
"positive","Writing up my case study so I can enjoy my weekend by going to Raleigh Friday &amp;&amp; babysitting my favorite twi http://t.co/ze8MCCiG"
"positive","Going to see @JohnCena and @CMPunk along with all the other @WWE superstars December 3rd in Greensboro NC :)"
"positive","cant wait to see my mami's @MsHannahMaree and @besitos_xoxo damn might just hurt the streets of raleigh tomorrow night."
"positive","SO glad that I slept again when my friend phoned me from Gampel for the 2nd time! Now I have "I know" as voicemail on my mobile. #PlaceboGig"
"positive","may even get to watch the North London Derby match at Emirates for the first time next season!"
"positive","Cabin Fever 2 drops tomorrow. No way it'll be better than Taylor Allderdice but i'm still pumped for it. @RealWizKhalifa"
"positive","Wish i couldve went to see Miss May I tonight at house of blues -.-"
"positive","@Darren800 ha ha yeah you're right! Well forget Pires, Mulleady on Saturday at Kilbeggan is the next sure thing! Lol if she runs of course."
"negative","@Magwer84 And who had Maidana fought before the Khan fight? Hahahaha and he lost to Devon Alexander in February who is shit also! #clueless"
"negative","Ian going to the game , that's a waste of money because Rosedale gone demolish us 1st Quater #FACT"
"negative","ATTN: RUNWAY CLASS FOR TONIGHT NOV 1st IS CANCELLED. Sorry for the inconvenience. It will be rescheduled for next... http://t.co/xewznlnt"
"negative","And I never had a good time I sat by my bedside with papers, poetry about Estella. #Greatexpectations"
"positive","The Tri-Cities Fever beat the Wichita Wild Friday night to win the Intense Conference Championship for the second... http://t.co/GKvG7GbX"
"negative",""And I never had a good time while sat by your bedside with papers and poetry about Estella.""
"negative","My godsister better take her ass STRAIGHT home after school tomorrow. NCA won't be the place for her to be after school"
"positive","Panellist from World Bank presentating on Understanding the potential for youth and women and wat may help guarantee success #GCARD2 #C22"
"negative","False start penalty, Garner moved early. Brings up 3rd and 16 from the Yale 47."
"positive",""@MUAthleticsTPP: Kickball tournament is on its way #MizzouSpirit http://t.co/YesQdKgj" .. the tigers are coming back strong tomorrow!"
"negative","If I don't feel A1 tomorrow I'm not going to school rs!"
"negative","All this damn work I still haven't had the chance to call Martin about these poems. I have to do it tomorrow"
"positive","10th grade I said Nipsey Hussle the best rapper out. Everybody was like hell naw then when the marathon came out everybody was on his nuts"
"negative","as some of you may know we have a fish tank &amp; this little guy is named Jeff Carter. sadly, i think he's dying. http://t.co/Bhil5DXL"
"positive","@sharpee_jess thanks fa the love!! I'm coming to Greensboro Nc Dec. 1-8 make a appointment ;)"
"positive","'Wont back down' with Viola Davis or 'House at the end of the street' with Jennifer Lawrence? Movie to see at the cinema tomorrow."
"positive","Oooh yha and the DMC and A$AP ROCKY one is 2-4th"
"positive","It's the clash of the century - we're taking on @love39steps and @1Man2Guvnors at bowling tonight. May the best show win. (us) #fightingtalk"
"positive","@Epithemiou Hey Angelos have you never thought of matching the food with wine on Saturday Kitchen, a perfect job for your delicate palate."
"positive","Exciting ang Sarah G Live this sunday with Anne Curtis, Myrtle, Melay, Echo, Jm de Guzman and Toni Gonzaga! =)"
"positive","@T_yeon9 eonni!!! please win the MAMA award for OST! Fighting! and take care, i want to see you on Jan 19... an ordinary fan from somewhere!"
"positive","@CherylCole can't wait for your tour so exited!!!! Il see u on Monday i hope :/ remember me Camilla Parker Bowles lol love you so much! Xxxx"
"positive","BRIEF-Clearwire says has enough funding to last it until end Q3 2013: Oct 25 (Reuters) - Clearwire Corp * Say... http://t.co/TEvQt5d5"
"positive","But a very happy 21st birthday to my niece's Mommy, Jess. I love you with all my heart and Miss Payton too (who will be 1 in 12 days.)"
"positive","Jeff, Joseph Arthur and the amazing Richard Stuverud.... Fox Theater in Bolder, November 18th. DO NOT MISS THIS!... http://t.co/3fdt2JXv"
"negative","Lmfao , she gone die . All the niggas gone be at NCA tomorrow"
"positive","Watching The Lorax with my boys.. Happy Saturday"
"negative","@asajoseph So you wouldn't have regretted selling Pires after his 1st season? I think it's outlandish to base all your judgement on 1 season"
"positive","COME SUPPORT BALLARD FIELD HOCKEY in the SEMI-FINALS tomorrow at 7:15 at bellarmine! #bruinfam #studentsection #loudandproud"
"negative","Semi-finals tomorrow are going to be gay..."
"positive","This looks like a nice place to spend a friday afternoon..... Chalet of the Week, Chardon, Val d'Isere.... http://t.co/9qeINVx7"
"positive","If Dontari Poe runs the 40 .3 slower at the NFL Combine, he's maybe a 2nd round pick. Nice work #Chiefs."
"negative","Sister is rubbing it in my face the fact that she has no school tomorrow and I do, #ULazySackOfShit Thalia Its all love though lmao"
"negative","NO WAIT!! Mick Foley will be at SMU from 10 to 11 am on 03 Nov... but I still unsure on whether to go see Kewei in the evening."
"positive","Perfect Pairing. The Singapore Slingers plus the White Ghost Shivers August 31. Tix http://t.co/VqrwH1UE http://t.co/dYbcKiO8"
"positive","This made my day. Girl Scout cookie orders start on Friday in #MD. I have an unhealthy obsession with Thin Mints ... http://t.co/dQEhmAsS"
"positive","A new favorite: Jason Vernau Live @ SurfComber March 16 th 2012 Miami WMC Pool Party with Robbie Rivera &amp; Friends http://t.co/ruEaugHY"
"positive","Looking forward to the nest Prizefighter on Nov 3rd at Bethnal Green - Light Middleweights turn - 2k bonus added for each KO, #incentive"
"negative","@yazbanz yes I am. Coz for me when Henry, Pires &amp; others left &amp; also Cesc may be, were more sad than this RVP! But do u think he's leaving?"
"positive","Delicious grilled cheese with ham cooked in Sun Dried Tomato, Parmesan &amp; Garlic oil from Olive That in Montclair http://t.co/Wf0pNsHQ"
"negative","Tomorrow October 25 Il Divo is presented in the valence Forum here in Venezuela! And I'm not going Hahaha"
"positive","Who wants to go with me tomorrow night to go see @TheSaturdays at the Roxy theater? tickets are cheep. Thanks and please please please!"
"positive","Excited for Halloween tomorrow I am going to be Jake from State Farm"
"positive","" @ERickaJAneee: I may say bad words too but that doesn't mean i lost my Christianity, i love you God" true"
"positive","I may be in the minority here, but I feel like George Harrison pulled off the "full hobo" look better than John Lennon."
"negative","Robbie Keane speaking now: "We let ourselves down and we let the country down. It wasn't good enough on Friday." #rtesoccer"
"positive","Won the 400 and the 200 and came 2nd in the 800 at Tayside and fife championships!"
"positive","every time i listen to promise by Romeo Santos the 1st person who comes to mind is @manndy23 :))"
"positive","@RonaNishliu Congratulations Rona for the 5th place in Eurosong contest. You deserve more than this&lt;3"
"negative","@sinbadbad I do believe Trayvon may be innocent or may not, but I don't like it when people gin up mobs &amp; hate even if they don't mean to."
"positive","Last day in melaka with SKH, have to go home tomorrow. memories can not be forgotten .. I love you skh."
"positive","@arsenal_tickets I know its a long shot but can anyone help with a ticket to the North London Derby on Nov 17? I'd be forever grateful"
"negative","I haven't bought my kit and NCS is tomorrow. My frame of mind right now is just #leaveityeah"
"positive","@MyGoldMusic  can you play wah wah or bware of darkeness by george harrison tomorrow please :)"
"positive","Ok, Party People, who's going to be at Jeff Timmons' Last Wired Show tomorrow night? Show him some Love if you're in town! :)"
"positive","@popshifter crazypants. Got to the 7th, saw Kermit play Bullets. Beautiful area"
"positive","Working in the Bi Nam exhibition again tomorrow and photographing the new exhibition at Turner House in the eve, excited!"
"positive","@ToniGfanpage flowers again for toni next sunday? hehe! congratulations to the ultimate multimedia star toni gonzaga!"
"positive","I hope that Rammstein gets played on the wedding dancefloor tomorrow. That would mean 4 of my teenage booze mates will have had it"
"positive","Support Emerging Scholars tomorrow at 12 noon for the annual Kickball Tournament ."
"positive","It's Super Bowl Sunday for the kids! On the turf in Chardon. #TimeToWin #HereWeGo"
"positive","Looking for some free fun? Come to @AbronsArtsCtr Friday to see the classic camp films "Cobra Woman" &amp; "Jungle Island." http://t.co/WaxQdXuW"
"positive","@giruaro silly string / silly season. love an owl story. fancy watching the football in Bethnal Green on Sunday..?"
"positive","I liked 'Kendrick Lamar - The Rave / Eagles Club - September 22, 2012 ...' in the The Rave / Eagles Club App http://t.co/CVb3RIxS"
"positive","Will @CourtneySager3 @Aubskidoodle @heath0123 @Major_Peter or any other SES grads be at the FHSU vs. KSU WBB game tomorrow?! #comeseeme :)"
"negative","I may go off the grid till 11/7. "Christians" keep driving me further from Christianity. Pregnancy after rape is science, not "God's will.""
"positive","@foofighters can't wait to see you guys thursday at Gampel, it's gonna be freakin' awesome!!"
"positive","Lowering the Bar may have found the first recusal motion to cite Girl Scout Cookies. http://t.co/ZmQwuuXM Thin Mints are criminally good."
"positive","Save the night, save the day. Save the love, come what may. Love is worth everything we pay. #tebakLagu #duet #barat *clue, OST.nya Zorro*"
"positive","Can't believe I may have seen the play of the year in the preseason! Jeremy Evans just put Turiaf in his place! #SlamDunkChampion #ScTopTen"
"positive","#SkateNight Tonight 8pm Stardust Skate Center FREE b4 9:30pm Hosted by #SAAB its always fun when you rolling!!! haha x1"
"positive","Congrats @JimmyDykesLive on your new contract. Can believe this is you 18th season at ESPN. Time flies. Always delighted to see you at Rupp."
"positive","@kerrycupcake You off to Cork ? have lots of fun &amp; safe trip, you've done a lot since your 1st meet at Eurosong haha"
"positive","May not know Spanish but shit whenever i listen to IL Divo i just want to flash my Scarlet!"
"negative","OMG Mali Music is going to be in Philly tomorrow! At the Liacouras Center, performing at the Kingsmen tour! I'm so sad."
"positive","Hopefully I have a better day tomorrow...today was just cow shit. Well...IM GOING TO BIG BANG CONCERT SO OF COURSE IT'S GONNA BE BOMB!"
"positive","@SamiCorrado pretty excited for #SBUcheerleaders to come to the Liacouras Center in January..."
"positive","I use to love that song in the 8th grade. Trina was my role model lmfao"
"positive","Last day of our MAX conference here at Twickers with Mark and Eric up presenting the Roadmap after an awesome 1st day yesterday #MAXCC"
"positive","TOMORROW Venus will eclipse in front of the Sun, an important cosmic event that will prepare humanity for the... http://t.co/7EqNqbfp"
"positive","Congrats to Trey Haley, Shawn Armstrong (@SArmstrong90), and Alex Monsalve for being named to the AFL's Rising Stars team. Game is Sat @ 8pm"
"positive","Going to Olive Garden with my family! So happy it's my 15th Birthday!"
"positive","@jrmahathir cakap je. Can we do it on tuesday ? Im in melaka. I really want to be in the picture... Please. *U may copy and paste this*"
"positive","An exciting day tomorrow @punchestownrace Oscars Well making his chase debut and Operating first time out over hurdles!! #fingerscrossed"
"positive","It looks like my brother is going to see A$AP Rocky tomorrow sigh his life needs to stop being significantly better than mine"
"positive","With a 7-2 win last night, the Norfolk Admirals tied the American Hockey League record with their 17th consecutive win. Fantastic stuff."
"positive","Normally I prefer a spot of Rammstein on a Sunday morning - perfect for doing the ironing or a spot of aggressive furniture polishing."
"positive","@ernasty49 Great season, it's been a pleasure listening to Volare in the 9th inning! Mas Ernasty ano q viene!"
"positive","Love this song! One of my favorites for sure. Can't wait to see you tomorrow at The Roxy! (@YouTube http://t.co/Mf5Ws9cN)"
"positive","DePaul WBB practice, wine, ND Football, dinner with big brother in Lincoln Park = great Saturday"
"positive","We get Garner 1st round. Got to beat the beat to be the best!! @ADHS_Football #ADN"
"positive","Interesting: Sacha Baron Cohen to play  Freddie Mercury in the latter's biopic http://t.co/9cuku4s8"
"negative","Sooo.. What you're telling me is that no one is down to get drunk as shit for the Cypress game tomorrow and talk shit to the cypress kids?"
"positive","Today I came to the world of television, who knows, but may be very soon I will be interviewing Big Time Rush? I wish this all my soul! &lt;3"
"positive","@funfunfunfest is coming up this weekend!! We're super excited! Playing the Blue Stage on Sat night right before A$AP Rocky!"
"positive","Performing tomorrow at the Harold Washington Cultural Center with @Smitty_LP come support the team http://t.co/9YEGfKrz"
"negative","i miss my bestfriend,Octaveia, my cousin ,April .. my bestie,Kaliyah, Tricey, Dasia,Mikia,&amp; the other people i miss with at Richwood !!"
"positive","Are there any Aussie Directioners from Canberra?? going there on the 12th of September would love to meet some More Aussie Directioners &lt;3"
"negative","@Tristan_jet @iidontrespectit Martin isn't a leader for the 2nd unit like harden. Your guys bench is done plus Westbrook is a ball hog"
"positive","Show up at our 2nd shop and dan is listening to Rammstein...today is going to rule #du #duhast #duhastmich"
"positive","Big day tomorrow! RVC WBB get their National Championship rings and an exciting new era of MBB begins! Good luck @CoachDoty and Coach Opat!"
"negative","I hate ASAP on Friday !!!! Why I have BUSY always in the end of week :("
"positive","@tanduayrhumph wow! Thank you TANDUAY may replay ang #TanduayRockfest sa ABS-CBN. you're the best @tanduayrhunph. ROCK ON PILIPINAS!"
"positive","MetroPCS launches the Galaxy S III on October 22, price is $499: Good news for MetroPCS cust... http://t.co/jR5U314Q more after redirect"
"positive","We're excited about our CineMonkeys session before the Lorax next Wed 31st - perfect half term entertainment! CM @ 12.30pm, Lorax at 1.30pm"
"positive","I love Thursdays....Grey's Anatomy....One day closer to Friday.....and No driving to Huntsville."
"positive","#rtesoccer Robbie Keane saying he always knew Germany was going to finish 1st in the group!!! #winningmentality #coybig"
"positive","@jessicaeven alright, ill go to ticketek tomorrow and sus it for you :)"
"positive","Il Divo - Somewhere I am going to see them in Dubai Friday ,,love ,adore them  http://t.co/2tCCipOi"
"positive","Hey LA music folks. You going to #HardSummer Aug 4&amp;5 #LosAngeles' Most Significant Music Festival. Go Destructo! http://t.co/cPfpESc5"
"positive","@piersmorgan Come on Pires! Enjoy the show! Shout out to people in the U.K. and Ireland wouldn't go astray! It's almost 3 am on a sunday!"
"positive","Glad Martin showed up though. Hopefully it will work out in the long run. Get out there tomorrow night! #ThunderUp"
"positive","So its supposed to be in the 30s Sat night in Natchitoches!! @DeezyBaby504 @Smcclain11 better be lucky I love them!! #missyallboyz #itscold"
"negative","I'm still obsessed with Werth...not on a Jeff Carter level more on a Ryan Lochte level. I think it may be sexual obsession"
"positive","Just saw Won't Back Down the 2nd time! Wow! Viola Davis and Maggie Gyllenhaal are PHENOMENAL! Even better the 2nd time! Amazing cast too!!!"
"positive","If your in Huntsville that Halloween discount is valid in person jus hit me up &amp; you'll get it tomorrow"
"positive","Come on out this Saturday and support us in the Semi-Finals round of the Battle of the EFFN Rock II Concert... http://t.co/wyl761wY"
"negative","I miss Sarah G Live last Sunday. Will watch it later."
"positive","May have a man crush on Ace! Like how is someone just naturally tht sweet! #HeHasFourBrot @ Laurel Tavern http://t.co/48FnU3Mz"
"positive","i honestly cant wait to get out of greensboro with @HannaBananas94  tomorrow!"
"positive","Practicing with Marana tomorrow, should be interesting, black pack all the way!"
"positive","@joehahn_lp bc HT was the 1st album of a very unique twist of Rock and Rap, LP is very original^_^ #HybridTheory"
"positive","Looking forward to facing Ms. Allysin Kay this Saturday in Petrolia!! http://t.co/Z6CBqYp1  come check it out!"
"negative","The World Bank cut its economic growth forecasts for the East Asia and Pacific region on Monday and said there was a risk the slowdow..."
"positive","Tonights Friday Family Movie Night is Journey 2, the Mysterious Island! Looks promising!"
"negative","But then I don't get why EP kings are gonna play Super Rugby but they still playing kwi 1st Div.. Crusaders aint no Puma's just so they know"
"positive","@annie_cutler Good luck tomorrow night. You'll be great.  Also, Samoas and Thin Mints = great way to warm up the crowd.  #Mmm  #SOCOMX"
"positive","I am squeeing at the latest BioShock Infinite trailer, it may usurp the original's place in my top 5 games ever. @IGLevine is a genius."
"positive","Mushu at The Hurricane wearing Tressa's rockstar bday foam guitar after our show last Saturday. We killed it http://t.co/hS178hfp"
"negative","I don't give a Fuck though, it's all about #sockersweek #ChicagoMagicPSG Friday night Lights at Olympic Park"
"negative","Rick Stein really is incredibly dull. Bring back kids' Saturday morning telly please. You know, with pop groups and stuff #sarurdaykitchen"
"positive","@jenmorrisonlive Oh, are we gonna have any August &amp; Emma scene on "Tallahassee"? Just a yes or no and I'll be happy (happier if it's a yes)!"
"positive","Is that lady in the 1st scene of WANDERLUST w/ Jennifer Aniston &amp; Paul Rudd the lady from Mel's Diner? If so, I am so happy to see her."
"positive","Watching Freaky Friday again with Danica. #HernewFavoriteMovie Think 5 is too young to explain how good Lindsey Lohan had it before drugs?"
"positive","Thanks for advising! RT@EllenBoBellen 1st formal chapter of the yr went well. Excited to be advising Beta Chi chp at University of Denver"
"positive","@jhonnyC323 Destructo next thurs, free before 10:30, guest list. Let's go. CAUSE I CAN!! (it's 21+)"
"positive","Tune in tomorrow for a brand new KENA PLUCK!!!! This one is good! Also, Michelle Chong brings 'Almost Famous' to the OSCARS!!!!!!!!!!!!!!!!!"
"negative","This Olive Garden commercial is so stupid. Why would I want old pasta tomorrow?"
"positive","Going to watch Connor run the 4x100m relay in State Athletics Championships at Olympic Park tomorrow. Wishing him luck!! #runforrestrun"
"positive","I'm totally going to ace the SAT!! #justkidding #iwish"
"positive","State farm may have the discount double check but thanks to my wife I have the hotel room triple check   No socks left behind"
"positive","We're excited for Thursday's gadget equivalent to the Oscars - the Stuff Awards. See which gizmos made the shortlist... http://t.co/BArjKODi"
"positive","On this night of fine footy finals for the NRL &amp; AFL, may I take a moment to say the first round of Super rugby is only 148 sleeps away :)"
"positive","I like who I am now. Other people may not. I'm comfortable. I feel freer now. I don't want growing older to matter to me. - Meryl Streep"
"positive",""@gabrielmaturan5: Catch me on Sarah G Live this sunday!! Hehe Ingat guys! Goodnight! Love you!! :****""
"positive","May the odds be ever in your favor, Aussie Directioners! Aha! ;)"
"positive","Okay. My sister is freaking out because Allstar isn't playing at the Wildwood Show tomorrow LMFAOOOO!"
"positive","@sharmaro84 Sharon, Hi, you may be interested in this ----&gt; Jeff Timmons on Paul And Matty Show http://t.co/2bDUsbU0"
"positive","Wifey &amp; Princess are going up to Granda's for thanksgiving today. I go Sunday. I think I'll watch Goon!"
"positive","Can't wait to see @CherLloyd at the House of Blues September 18th! #Stoked"
"negative","I just realized that Thalia is going to be tortured tomorrow for an hour lmao"
"positive","I'm gonna just don it during school tomorrow. Math in TOK, History in Math and Bio, and Spanish during lunch. Yup that sounds about right."
"negative","'Saturday Kitchen' is on and it's Sunday. Mind = fucked."
"positive","Is Paul George gonna take the T-Mac step in his 3rd year? Hope so"
"negative","Uh oh..just turned on Cardinals game...1st thing I see State Farm commercial with Kerry Wood..not a good sign for #Cardinals"
"positive","@remittancegirl What *I'd* like would be for you to do one of those cooking segments on Saturday Kitchen.  That looked marvellous. @maydeva"
"positive","@King24George I'm excited to get my Paul George jersey signed by you Sunday at the fan jam!"
"negative","H&M delivery is SO shit. I ordered things and paid extra for next day delivery on Saturday and it still hasn't come"
"positive","@adrian__one Thanks for the kind words dude :),See you in December and on Soundwave."
"positive","@Kibsta91 Was at Barnet for Edgar Davids' debut on Friday then FA Cup yesterday. Blog very nice, thanks. You had much feedback on the first?"
"positive","Psych and garage rock fans will love @THEVACANTLOTS @LovelyBadTweets &amp; @__cosmonauts__  at the Echo on Nov 6th! Tix http://t.co/Kh7ZPEqE"
"positive","Oh great, weather warning for Tayside and I'm going to Dundee tomorrow.  Hope I don't get stranded up there #help"
"positive","Omg Journey 2: the mysterious island is on DVD Monday! I love that film!"
"negative","@Becker_Boris It's almost 2 am in BKK but I can't sleep after the game. It isn't the 1st time we lost cuz of ref."
"positive","@LouRoberg hey Lou I got a good deal on a bunker I can sell you on Nov 7th  #rightwingparanoia"
"positive","HuffingtonPost: Tomorrow Venus, Jupiter, and the moon will align for a brilliant night show http://t.co/xUMwfSzH"
"positive","@SouthwoodEllie @louisechall Love first Friday of the month! Is this your last arraignment day Lou? Newsworthy list to finish with if so!"
"positive","I have a good feeling about Saturday the money will be coming my way! @LewisHobbs93  @DCFCSPOONZ Jacob"
"positive","Bring the Whole Family for a Weekend of Sun, Fun & Healthy Living at Florida ...: Taking place at Jungle Island,... http://t.co/pDk07lsJ"
"negative","I'm going to be so lost at cypress tomorrow"
"positive","1D have a surprise for Aussie Directioners with whispers they may return to the Australian Xfactor! http://t.co/WSuHZyGf (via @Navigating1D)"
"positive","Oneil's Barber &amp; Beauty will be open Monday @ 10am and not closing to the last person leave!  #WeGrind"
"negative","Brrrr that was a shock this am! +2C windy so feels chilly but some sun :) We are colder than Siberia so the tabs... http://t.co/av4kWLrx"
"negative","Danica Patrick let her temper get the best of her Sunday and knocked herself out of NASCAR race http://t.co/ziT7wf95"
"positive","#np Ni**as In Paris - JayZ & Kanye, cant wait to see the live in June #watchthethrone"
"negative","Olive Garden's Dinner Today &amp; Dinner Tomorrow special, for the person who thinks "Hey, that was terrible! Wonder what it's like microwaved?""
"positive","hopefully going to go see Romeo Santos with Catherine on december WOOT WOOT :D &lt;3,&lt;3"
"negative","Watching "Good Deeds" for the 1st time &amp; I'm here all emotional &amp; crap. Smh"
"positive","Looking forward to inspiring the makeup artists of tomorrow with my Red Carpet workshop at @makeupsfx in Liverpool as guest lecturer"
"negative","@GregUnittXIV I hate to say it but I think it'll go to penalties tomorrow. I just have that feeling, like I had before the Carling Cup Final"
"negative","Probably not going to be seeing much of the Semi-finals tomorrow because I'm going shopping around lunchtime"
"positive","AYYYYYE!!! Baby Girl Fresh will be at the HOUSE OF BLUES in December! Make sure yall come out and SUPPORT!  http://t.co/5D1UBeLB"
"positive","so Ms.Sea (however you spell her name) from Berkmar left and now is sn AP at Lanier and I skipped 4th period and stayed in her office (: lol"
"negative","Ruby can't even take me to breakfast tomorrow :/ he dropped Harold Washington ."
"positive","The 1st article pointed out to me for my FB page dedicated to the announcer at Bethnal Green - hoping the 1st of many! https://t.co/1WqEQTpJ"
"positive","RT: @thecyclr Its Friday people!!! Get that Kermit the frog cycling feelin ;) http://t.co/1eN066lh // And i've started holidays!! :))"
"positive","I watched Good Deeds again today with @nomusamtshali.. Thanks for coming through girl, was having a boring sunday before you came through.."
"positive","Getting very very excited for the Birdcage tomorrow at Derby!"
"negative","Trina will be in N.O. Friday....I stop supporting her the day I found out she was in thibodaux at the showcase lol"
"positive","Good afternoon everyone it's Monday afternoon and i'm live on the airwaves of AMFM till 4pm. HELLO AND WELCOME TO AMY LEE IN THE AFTERNOON."
"positive","I hope y'all come 2 Take Ur Loved One 2 the Doctor Day at Liacouras Center Saturday. I gotta be there at 730am &amp; need entertainment!!!"
"positive","I like what I've seen today in NNS race! We have us a 2nd groove with side by side, sometimes 3 wide on front stretch, racing! #NASCAR #fb"
"positive","A draw in the North London Derby would be nice today. As the gap the Yids have on us is not impossible to close down & we would remain 4th."
"negative","Can we just haw class cancelled tomorrow? Cause I really don't want to go to BCA 101. I'd rather eat worms...."
"positive","On 9/18/2007, John Anthony Zacchara arrived in Port Charles in the form of @BrandonBarash !  Everybody go wish him a Happy 5th Anniv on #GH!"
"negative","May be late to the NCS thing, I honestly haven't the foggiest where the central library is xD"
"positive","Fuck yes the Girl Scouts just came to my door. And I may or may not have bought ten boxes of thin mints...."
"positive","Carlos Marin on fb 16 September 2012 Thanks you Salzburg for such beautiful Il Divo concert yesterday xxx Gracias... http://t.co/hgOWYa38"
"negative","Luna is taking a break today, not perfecting any major aspects to any of the other 6 planets, until she will meet Jupiter tomorrow morning"
"positive","So proud my alma mater is hosting the 1st Debate this Wednesday! Debate 2012 | University of Denver http://t.co/cg7kVBg4"
"negative","Mommy is leaving on Sunday. Didn't say shit. Like I knew she was leavin, but she ain't say when."
"negative","@RolandT125 as much as I hate to say it...Saurez, Ronaldo, Nani, Pires   I could go on and on he may have a point bruv."
"positive","Come spend Halloween with us at Volare! The Robbie Bartlett Trio will be here for your enjoyment! Wednesday is... http://t.co/ytUGx01q"
"positive","X factor, home made goodies, jacuzzi and Sacha Baron Cohen. Perfect Saturday evening with @SuzieInnocent"
"positive","Edgar Davids (39) made a successful return after a 2-year absence by leading Barnet to its 1st league win of the season: 4-0 vs Northampton."
"positive","Please be reminded that ALL proceeds from the Kickball Tournament benefits the 5th Annual "I Know I Can" Back-To-School Drive Aug 25."
"negative","Although there was that one time he finished 3rd and Cannavaro finished 1st. Yes, Fabio Cannavaro. Bullshit."
"positive","MAYHEM!! LIVE in the mix Tomorrow Thursday Night Oct 25 at Warehouse 29 in Greensboro NC!!!! Be There! http://t.co/qjNJsknp"
"positive","@demigodv4to ohh :D i just came back from Melaka :D will go to Sepang tomorrow -.-"
"positive","@Jimmy_Choo2 Glam Girls want to invited everyone to enjoy Halloween with them tomorrow at The Grenader on Riverview and Rosedale from 5-8pm"
"positive","@Daniel_Dennehy Just saw u with Cannavaro, didn't know u were here in Italy! Congratz for being the 2nd best in the world!!! #Legend"
"positive","Pacers had a very solid 4th quarter comeback victory. Paul George played fantastic in the 1st quarter but disappeared after that"
"positive","@teafortree Goon is always a good idea! It will probably taste better than the $10 bottle of vodka I have for tomorrow..."
"negative","Google Wallet is coming to MetroPCS, so now you won't need to sign a contract to have your identity stolen. More jokes: http://t.co/oyPF2YTw"
"positive","ATTN: Hicksville Tiger Schulmann's finally has it's power back! Classes will resume as normal tomorrow. We... http://t.co/SUO2Em6l"
"negative","Rick stein Saturday kitchen quote fishing is by far the worlds most dangerous job haha #thinkaboutitnobhead"
"negative","Mark Martin by far the most unluckiest Nascar driver of all time, 2nd 5 times in points &amp; the heartbreaking 07 Daytona 500."
"positive","I love that boy ! Jacob just sat in the bck and was laughing"
"positive","I'm late but, I just watched "Good Deeds" for the 1st time. Awesome movie! Cried thru most of it. Turned 30 and got sensitive as hell."
"positive","Sunday was the first cooler-than-normal day @ BDR in October. This morning was the coldest one of the season."
"negative","Evgeni Malkin doesn't play again until the 16th. This NHL lockout sucks, I can't watch games that are being played in Russia."
"negative","@KRuddMP listed as star attraction for Aust-China event today. Rudd's office say he never committed, PR in charge says he cancelled Friday."
"positive","@leoraheilbronn @broadwaybabyto I think the stroke of brilliance in casting may wind up being Sacha Baron Cohen"
"positive","Watching old SNL episodes from the 80s w/ Chevy Chase, John Belushi, and Dan Ackroyd. Billy Joel is the musical guest. The best lazy Sunday."
"negative","I had a feeling Cassadee Pope would be at House Of Blues today. Too bad she couldn't do "Remembering Sunday" with ATL"
"negative","So Aston Villa have a "must win" game against Norwich City tomorrow lunchtime. MUST WIN - how the mighty have fallen."
"positive","OMG! Look like it's gonna be very hot in Gampel on Sunday... xD"
"positive","@BenCrawfordNZ depends what vibe you want. Post-ABs def check out the Monday Room &amp; Volstead - they were favs of mine when I lived there"
"positive","Thanks to EK, car now smells DELISH!! If you bottled this, it'd be called Saturday Night Dorm Bathroom; its spokesman would be John Belushi."
"positive","Thanks! @BSU_StdtAff: Join Dean @PaulaKrebs on Tues 10/16 from 4-5:30 in  BDR for the Dean's Q-Tea in honor of Nat'l Coming Out Day #bsulife"
"positive","World Bank praises electricity access improvements in Malaysia http://t.co/dMdivOWx from previous 59th now it is 28th in position #BNbagus"
"positive","@JoeWood91 Bren-field mate, we where joint 2nd, they where bottom. They celebrated like they'd just won the Carling Cup!"
